Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 18:28:36.634,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.55
2,2025-09-08 18:28:40.003,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",3371.53
3,2025-09-08 18:28:40.004,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",3372.75
4,2025-09-08 18:28:40.037,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",3405.37
5,2025-09-08 18:28:40.395,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",3764.06
6,2025-09-08 18:28:40.437,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",3805.77
7,2025-09-08 18:28:40.437,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",3806.11
8,2025-09-08 18:28:40.473,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",3842.00
9,2025-09-08 18:28:40.826,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",4194.55
10,2025-09-08 18:28:40.862,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",4230.89
11,2025-09-08 18:28:40.863,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",4231.33
12,2025-09-08 18:28:40.883,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",4251.59
13,2025-09-08 18:28:41.215,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",4583.37
14,2025-09-08 18:28:41.251,TravelML,TravelML_r1_ep1_fp1,STARTED,"Normal execution; DeltaTime: 0.100",4619.36
15,2025-09-08 18:28:41.251,TravelML,TravelML_r1_ep1_fp1,STARTED,"DeltaTime: 0.100",4619.68
16,2025-09-08 18:28:41.276,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Effects applied successfully",4644.35
17,2025-09-08 18:28:41.606,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",4975.09
18,2025-09-08 18:28:41.641,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",5010.22
19,2025-09-08 18:28:41.642,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"DeltaTime: 0.100",5010.53
20,2025-09-08 18:28:41.671,PickUpML,PickUpML_lp1_fp1_r1_vg1,COMPLETED,"Effects applied successfully",5039.70
21,2025-09-08 18:28:41.678,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Subtree execution completed successfully",5046.58
22,2025-09-08 18:28:42.011,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",5379.43
23,2025-09-08 18:28:44.903,TravelML,TravelML_r1_fp1_pr1,STARTED,"Normal execution; DeltaTime: 0.100",8271.28
24,2025-09-08 18:28:44.903,TravelML,TravelML_r1_fp1_pr1,STARTED,"DeltaTime: 0.100",8271.58
25,2025-09-08 18:28:44.929,TravelML,TravelML_r1_fp1_pr1,COMPLETED,"Effects applied successfully",8297.29
26,2025-09-08 18:28:45.269,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",8638.05
27,2025-09-08 18:28:45.293,PlaceML,PlaceML_lp1_pr1_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",8661.38
28,2025-09-08 18:28:45.293,PlaceML,PlaceML_lp1_pr1_r1_vg1,STARTED,"DeltaTime: 0.100",8661.65
29,2025-09-08 18:28:45.326,PlaceML,PlaceML_lp1_pr1_r1_vg1,COMPLETED,"Effects applied successfully",8694.90
30,2025-09-08 18:28:45.330,PlaceHL,PlaceHL_lp1_pr1_r1,COMPLETED,"Subtree execution completed successfully",8699.24
31,2025-09-08 18:28:45.712,GluingPLateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",9081.02
32,2025-09-08 18:28:48.515,CloseToolML,CloseToolML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",11884.13
33,2025-09-08 18:28:48.516,CloseToolML,CloseToolML_r1_vg1,STARTED,"DeltaTime: 0.100",11884.53
34,2025-09-08 18:28:48.538,CloseToolML,CloseToolML_r1_vg1,COMPLETED,"Effects applied successfully",11906.68
35,2025-09-08 18:28:48.879,GluingPLateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",12247.76
36,2025-09-08 18:28:48.936,TravelML,TravelML_r1_pr1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",12305.20
37,2025-09-08 18:28:48.937,TravelML,TravelML_r1_pr1_ep1,STARTED,"DeltaTime: 0.100",12305.60
38,2025-09-08 18:28:48.964,TravelML,TravelML_r1_pr1_ep1,COMPLETED,"Effects applied successfully",12332.84
39,2025-09-08 18:28:49.325,GluingPLateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",12694.04
40,2025-09-08 18:28:49.405,DeequipML,DeequipML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",12773.30
41,2025-09-08 18:28:49.405,DeequipML,DeequipML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",12773.71
42,2025-09-08 18:28:49.454,DeequipML,DeequipML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",12823.17
43,2025-09-08 18:28:49.802,GluingPLateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",13170.50
44,2025-09-08 18:28:49.860,TravelML,TravelML_r1_ep1_ep2,STARTED,"Normal execution; DeltaTime: 0.100",13228.89
45,2025-09-08 18:28:49.860,TravelML,TravelML_r1_ep1_ep2,STARTED,"DeltaTime: 0.100",13229.15
46,2025-09-08 18:28:49.887,TravelML,TravelML_r1_ep1_ep2,COMPLETED,"Effects applied successfully",13255.43
