Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 12:42:43.605,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",7.24
2,2025-09-08 12:42:47.539,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",3940.57
3,2025-09-08 12:42:48.393,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",4794.66
4,2025-09-08 12:42:51.451,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",7852.67
5,2025-09-08 12:42:53.208,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",9609.28
6,2025-09-08 12:42:56.426,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",12828.05
7,2025-09-08 12:42:58.047,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",14448.27
8,2025-09-08 12:43:01.491,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",17893.13
9,2025-09-08 12:43:01.494,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",17895.91
10,2025-09-08 12:43:01.568,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",17969.96
11,2025-09-08 12:43:03.274,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",19675.76
