Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 09:06:51.550,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.02
2,2025-09-08 09:06:54.239,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2690.98
3,2025-09-08 09:06:54.418,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2870.13
4,2025-09-08 09:06:57.067,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5518.59
5,2025-09-08 09:06:57.253,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",5705.06
6,2025-09-08 09:06:59.899,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8350.93
7,2025-09-08 09:07:00.084,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8535.99
8,2025-09-08 09:07:03.385,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11836.87
9,2025-09-08 09:07:03.385,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11837.56
10,2025-09-08 09:07:03.413,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11865.35
11,2025-09-08 09:07:03.601,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12053.26
12,2025-09-08 09:07:03.641,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",12093.15
13,2025-09-08 09:07:03.641,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",12093.46
14,2025-09-08 09:07:03.675,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",12127.16
15,2025-09-08 09:07:03.866,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12318.39
16,2025-09-08 09:07:03.903,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12355.34
17,2025-09-08 09:07:03.904,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",12355.58
18,2025-09-08 09:07:03.932,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",12383.73
19,2025-09-08 09:07:04.114,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12566.29
20,2025-09-08 09:07:04.149,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",12600.78
21,2025-09-08 09:07:04.149,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",12601.36
22,2025-09-08 09:07:04.174,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",12625.67
23,2025-09-08 09:07:04.379,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12831.36
24,2025-09-08 09:07:04.424,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12875.75
25,2025-09-08 09:07:04.424,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",12876.03
26,2025-09-08 09:07:04.460,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",12912.32
27,2025-09-08 09:07:04.466,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",12918.08
28,2025-09-08 09:07:04.663,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",13115.43
29,2025-09-08 09:07:07.720,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",16172.52
30,2025-09-08 09:07:07.996,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",16448.35
