Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 14:58:28.259,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.09
2,2025-09-08 14:58:31.344,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",3087.03
3,2025-09-08 14:58:31.534,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",3276.65
4,2025-09-08 14:58:34.173,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5915.50
5,2025-09-08 14:58:34.362,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",6104.69
6,2025-09-08 14:58:37.081,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8823.80
7,2025-09-08 14:58:37.257,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8999.46
8,2025-09-08 14:58:40.011,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11753.49
9,2025-09-08 14:58:40.012,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11754.42
10,2025-09-08 14:58:40.039,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11782.23
11,2025-09-08 14:58:40.227,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11970.05
12,2025-09-08 14:58:40.269,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",12011.41
13,2025-09-08 14:58:40.269,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",12012.02
14,2025-09-08 14:58:40.303,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",12046.20
15,2025-09-08 14:58:40.484,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12226.37
16,2025-09-08 14:58:40.521,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12264.22
17,2025-09-08 14:58:40.522,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",12264.54
