NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,3.85,0.75,1226.06,0.33,1230.99,211.57,41.22,67433.53,18.10,67704.43
BTFlowNode_Dynamic_ENHSP,19,2.12,1.40,1.71,820.85,826.08,40.34,26.57,32.54,15596.08,15695.53
BTFlowNode_Dynamic_FF,19,688.56,5.62,1.57,64.84,760.60,13082.72,106.80,29.92,1231.88,14451.33
GenericBTAction,38,21.59,0.63,404.25,0.19,426.66,820.29,24.01,15361.61,7.12,16213.06
TOTAL,131,108.05,1.52,632.50,128.65,870.72,14154.91,198.60,82857.60,16853.17,114064.36
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
