PlannerType,CallCount,SuccessfulCalls,SuccessRate,AveragePlannerTimeMs,AverageServiceTimeMs,AveragePlanSize,TotalPlannerTimeMs,TotalServiceTimeMs
ENHSP,4,4,100.00%,2406.22,2486.48,2.00,9624.90,9945.90
FF,20,20,100.00%,2712.40,2926.59,3.20,54248.10,58531.74
TOTAL,24,24,100.00%,2661.37,2853.24,3.00,63872.99,68477.64
