NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,3.93,0.82,1189.39,0.32,1194.45,215.91,45.03,65416.19,17.62,65694.78
BTFlowNode_Dynamic_ENHSP,19,1.72,1.30,1.46,812.19,816.67,32.61,24.78,27.71,15431.66,15516.77
BTFlowNode_Dynamic_FF,19,683.38,7.71,2.36,63.18,756.63,12984.27,146.50,44.81,1200.46,14376.04
GenericBTAction,38,16.27,0.76,404.36,0.13,421.52,618.16,28.78,15365.71,5.12,16017.79
TOTAL,131,105.73,1.87,617.21,127.14,851.95,13850.95,245.09,80854.42,16654.87,111605.37
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
