Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 10:02:24.294,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.56
2,2025-09-08 10:02:27.109,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2817.76
3,2025-09-08 10:02:27.304,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",3012.80
4,2025-09-08 10:02:30.430,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",6138.57
5,2025-09-08 10:02:30.785,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",6493.27
6,2025-09-08 10:02:33.595,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",9303.10
7,2025-09-08 10:02:33.962,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",9669.92
8,2025-09-08 10:02:37.731,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",13439.43
9,2025-09-08 10:02:37.738,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",13446.33
10,2025-09-08 10:02:37.813,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",13520.91
11,2025-09-08 10:02:38.155,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",13863.74
12,2025-09-08 10:02:38.246,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",13954.44
13,2025-09-08 10:02:38.247,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",13955.29
14,2025-09-08 10:02:38.338,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",14045.98
15,2025-09-08 10:02:38.643,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",14350.93
16,2025-09-08 10:02:38.727,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",14435.38
17,2025-09-08 10:02:38.728,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",14436.18
18,2025-09-08 10:02:38.820,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",14528.24
