Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 10:11:14.385,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.74
2,2025-09-08 10:11:17.058,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2675.33
3,2025-09-08 10:11:17.248,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2864.90
4,2025-09-08 10:11:20.000,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5617.65
5,2025-09-08 10:11:20.172,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",5788.98
6,2025-09-08 10:11:22.857,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8474.77
7,2025-09-08 10:11:23.045,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8662.86
8,2025-09-08 10:11:25.751,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11368.84
9,2025-09-08 10:11:25.753,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11370.46
10,2025-09-08 10:11:25.780,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11396.95
11,2025-09-08 10:11:25.960,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11577.34
12,2025-09-08 10:11:26.002,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11619.03
13,2025-09-08 10:11:26.002,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",11619.31
14,2025-09-08 10:11:26.039,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",11655.99
15,2025-09-08 10:11:26.241,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11858.88
16,2025-09-08 10:11:26.285,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",11902.25
17,2025-09-08 10:11:26.285,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",11902.61
18,2025-09-08 10:11:26.343,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",11960.16
19,2025-09-08 10:11:26.548,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12165.78
20,2025-09-08 10:11:26.585,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",12201.98
21,2025-09-08 10:11:26.585,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",12202.25
22,2025-09-08 10:11:26.609,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",12225.95
23,2025-09-08 10:11:26.795,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12412.86
24,2025-09-08 10:11:26.829,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12446.27
25,2025-09-08 10:11:26.829,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",12446.76
26,2025-09-08 10:11:26.858,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",12475.70
27,2025-09-08 10:11:26.864,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",12481.29
28,2025-09-08 10:11:27.158,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",12775.54
29,2025-09-08 10:11:29.663,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",15280.61
30,2025-09-08 10:11:29.942,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",15558.95
31,2025-09-08 10:11:32.588,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",18204.91
32,2025-09-08 10:11:32.748,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",18365.68
33,2025-09-08 10:11:35.339,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",20956.72
34,2025-09-08 10:11:35.527,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",21144.80
