ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTDecorator_DynamicPlanningComplete,0,34,22,12,8
BTDecorator_LowestCostExecution,0,22,19,3,8
BTDecorator_PlanningComplete,0,81,77,4,12
BTFlowNode_Composite,0,55,1,0,0
BTFlowNode_Dynamic,4,81,21,34,0
BTService_PlanningPhaseManager,0,55,55,0,1
BTServicePlanner,0,0,0,0,0
SubtreeInjectionService,0,53,53,0,72
TOTAL,4,381,248,53,101
