NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,3.59,0.78,1359.51,0.40,1364.29,197.35,43.11,74773.08,22.24,75035.79
BTFlowNode_Dynamic_ENHSP,19,2.28,1.57,1.70,958.43,963.98,43.37,29.74,32.26,18210.15,18315.53
BTFlowNode_Dynamic_FF,19,831.33,6.19,1.92,64.75,904.18,15795.19,117.52,36.48,1230.17,17179.37
GenericBTAction,38,17.91,0.75,475.90,0.18,494.74,680.62,28.56,18084.15,6.70,18800.05
TOTAL,131,127.61,1.67,709.36,148.62,987.26,16716.52,218.93,92925.97,19469.26,129330.74
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
