NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,4.07,0.95,1449.49,0.36,1454.87,223.79,52.32,79721.78,19.96,80017.87
BTFlowNode_Dynamic_ENHSP,19,2.10,1.36,1.66,962.04,967.16,39.82,25.91,31.47,18278.80,18376.00
BTFlowNode_Dynamic_FF,19,828.65,9.42,1.99,62.47,902.54,15744.38,178.99,37.84,1186.95,17148.17
GenericBTAction,38,17.47,0.69,477.35,0.16,495.67,663.93,26.31,18139.25,5.93,18835.44
TOTAL,131,127.27,2.16,747.56,148.79,1025.78,16671.92,283.53,97930.34,19491.65,134377.49
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
