NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,789,5.58,1.46,3010.15,0.71,3017.90,4399.15,1153.84,2375007.25,558.47,2381119.28
BTFlowNode_Dynamic_PDDL,486,419.82,5.90,3.15,711.28,1140.16,204034.85,2865.11,1532.31,345684.45,554117.09
GenericBTAction,486,26.45,1.19,532.19,0.25,560.08,12854.98,577.47,258646.54,119.54,272198.86
TOTAL,1761,125.66,2.61,1496.41,196.69,1821.37,221288.98,4596.42,2635186.10,346362.46,3207435.23

=== DYNAMIC FLOW NODE SUMMARY BY PLANNER ===
BTFlowNode_Dynamic_PDDL_SUMMARY,486,419.82,5.90,3.15,711.28,1140.16,204034.85,2865.11,1532.31,345684.45,554117.09
