NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,3.89,0.78,1264.14,0.34,1269.14,213.96,42.80,69527.43,18.54,69802.75
BTFlowNode_Dynamic_ENHSP,19,1.81,1.36,1.39,860.05,864.61,34.47,25.89,26.32,16340.98,16427.68
BTFlowNode_Dynamic_FF,19,738.35,6.61,1.68,60.09,806.74,14028.68,125.58,32.00,1141.79,15328.06
GenericBTAction,38,14.99,0.67,428.59,0.18,444.43,569.79,25.32,16286.29,6.88,16888.30
TOTAL,131,113.34,1.68,655.51,133.65,904.17,14846.90,219.60,85872.04,17508.19,118446.79
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
