PlannerType,CallCount,SuccessfulCalls,SuccessRate,AveragePlannerTimeMs,AverageServiceTimeMs,AveragePlanSize,TotalPlannerTimeMs,TotalServiceTimeMs
ENHSP,92,46,50.00%,1867.89,1922.13,5.09,171846.01,176836.04
TOTAL,92,46,50.00%,1867.89,1922.13,5.09,171846.01,176836.04
