NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,4.07,0.77,1283.30,0.34,1288.47,223.58,42.32,70581.44,18.43,70865.80
BTFlowNode_Dynamic_ENHSP,19,1.96,1.40,1.53,908.52,913.41,37.27,26.57,29.10,17261.85,17354.80
BTFlowNode_Dynamic_FF,19,789.20,7.13,1.80,60.03,858.16,14994.77,135.42,34.29,1140.58,16305.07
GenericBTAction,38,16.73,0.81,450.98,0.15,468.67,635.85,30.69,17137.29,5.79,17809.63
TOTAL,131,121.31,1.79,670.09,140.66,933.86,15891.47,235.00,87782.13,18426.65,122335.31
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
