Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 15:09:54.655,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.63
2,2025-09-08 15:09:57.280,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2627.94
3,2025-09-08 15:09:57.498,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2845.62
4,2025-09-08 15:10:00.588,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5935.86
5,2025-09-08 15:10:00.762,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",6110.47
6,2025-09-08 15:10:03.377,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8724.90
7,2025-09-08 15:10:03.564,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8911.65
8,2025-09-08 15:10:06.298,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11645.85
9,2025-09-08 15:10:06.299,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11646.74
10,2025-09-08 15:10:06.328,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11675.87
11,2025-09-08 15:10:06.515,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11862.89
12,2025-09-08 15:10:06.560,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11907.95
13,2025-09-08 15:10:06.560,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",11908.20
14,2025-09-08 15:10:06.599,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",11946.88
15,2025-09-08 15:10:06.789,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12137.46
16,2025-09-08 15:10:06.836,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12183.99
17,2025-09-08 15:10:06.836,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",12184.28
18,2025-09-08 15:10:06.864,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",12211.90
19,2025-09-08 15:10:07.064,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12412.13
20,2025-09-08 15:10:07.103,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",12451.34
21,2025-09-08 15:10:07.104,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",12451.65
22,2025-09-08 15:10:07.133,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",12480.85
23,2025-09-08 15:10:07.326,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12673.98
24,2025-09-08 15:10:07.369,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12717.11
