NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,3.68,0.68,1252.28,0.38,1257.02,202.23,37.32,68875.51,20.92,69136.00
BTFlowNode_Dynamic_ENHSP,19,1.84,1.48,1.49,873.09,877.90,34.89,28.15,28.36,16588.73,16680.13
BTFlowNode_Dynamic_FF,19,748.00,6.01,1.79,58.72,814.51,14211.94,114.12,33.99,1115.72,15475.78
GenericBTAction,38,16.45,0.78,432.87,0.18,450.29,624.98,29.76,16449.23,7.01,17111.00
TOTAL,131,115.07,1.60,651.81,135.36,903.84,15074.04,209.35,85387.09,17732.37,118402.90
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
