Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 15:36:30.734,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",3.97
2,2025-09-08 15:36:33.729,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2998.46
3,2025-09-08 15:36:33.918,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",3187.59
4,2025-09-08 15:36:38.088,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",7358.17
5,2025-09-08 15:36:38.436,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",7706.27
6,2025-09-08 15:36:42.973,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",12243.09
7,2025-09-08 15:36:43.321,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12590.90
8,2025-09-08 15:36:47.186,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",16455.98
9,2025-09-08 15:36:47.188,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",16458.02
10,2025-09-08 15:36:47.260,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",16530.15
11,2025-09-08 15:36:47.592,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",16861.75
12,2025-09-08 15:36:47.673,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",16943.35
13,2025-09-08 15:36:47.674,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",16943.83
14,2025-09-08 15:36:47.741,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",17010.67
15,2025-09-08 15:36:48.151,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",17420.69
16,2025-09-08 15:36:48.210,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",17479.75
17,2025-09-08 15:36:48.210,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",17480.07
18,2025-09-08 15:36:48.521,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",17790.64
19,2025-09-08 15:36:48.891,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",18160.79
20,2025-09-08 15:36:49.231,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",18500.97
21,2025-09-08 15:36:49.232,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",18501.61
22,2025-09-08 15:36:49.424,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",18694.34
23,2025-09-08 15:36:49.957,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",19227.13
24,2025-09-08 15:36:50.142,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",19412.21
25,2025-09-08 15:36:50.143,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",19412.52
26,2025-09-08 15:36:50.330,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",19599.88
27,2025-09-08 15:36:50.337,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",19606.76
28,2025-09-08 15:36:51.849,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",21119.02
29,2025-09-08 15:36:55.946,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",25215.66
30,2025-09-08 15:36:56.438,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",25707.99
31,2025-09-08 15:37:00.111,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",29380.66
32,2025-09-08 15:37:00.368,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",29637.95
33,2025-09-08 15:37:04.727,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",33996.67
34,2025-09-08 15:37:04.956,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",34226.16
35,2025-09-08 15:37:08.063,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",37332.90
36,2025-09-08 15:37:08.273,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",37542.77
37,2025-09-08 15:37:08.323,TravelML,TravelML_r1_fp25_pr4,STARTED,"Normal execution; DeltaTime: 0.100",37592.87
38,2025-09-08 15:37:08.323,TravelML,TravelML_r1_fp25_pr4,STARTED,"DeltaTime: 0.100",37593.15
39,2025-09-08 15:37:08.356,TravelML,TravelML_r1_fp25_pr4,COMPLETED,"Effects applied successfully",37625.66
40,2025-09-08 15:37:08.570,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",37840.32
41,2025-09-08 15:37:08.606,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",37875.73
42,2025-09-08 15:37:08.608,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"DeltaTime: 0.100",37877.83
43,2025-09-08 15:37:08.666,PlaceML,PlaceML_lp4_pr4_r1_vg1,COMPLETED,"Effects applied successfully",37935.99
44,2025-09-08 15:37:08.673,PlaceHL,PlaceHL_lp4_pr4_r1,COMPLETED,"Subtree execution completed successfully",37943.40
45,2025-09-08 15:37:09.209,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",38479.18
46,2025-09-08 15:37:13.411,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",42680.66
47,2025-09-08 15:37:13.591,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",42861.04
48,2025-09-08 15:37:17.141,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",46411.07
49,2025-09-08 15:37:17.455,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",46724.99
50,2025-09-08 15:37:21.051,TravelML,TravelML_r1_pr4_fp17,STARTED,"Normal execution; DeltaTime: 0.100",50321.11
