Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 15:30:43.907,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.80
2,2025-09-08 15:30:46.521,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2616.62
3,2025-09-08 15:30:46.709,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2804.15
4,2025-09-08 15:30:49.364,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5459.39
5,2025-09-08 15:30:49.540,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",5635.32
6,2025-09-08 15:30:52.095,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8190.23
7,2025-09-08 15:30:52.283,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8378.52
8,2025-09-08 15:30:55.264,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11359.32
9,2025-09-08 15:30:55.265,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11359.96
10,2025-09-08 15:30:55.290,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11385.12
11,2025-09-08 15:30:55.471,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11565.71
12,2025-09-08 15:30:55.506,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11600.74
13,2025-09-08 15:30:55.506,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",11601.25
14,2025-09-08 15:30:55.534,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",11629.66
15,2025-09-08 15:30:55.726,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11821.44
16,2025-09-08 15:30:55.762,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",11857.04
17,2025-09-08 15:30:55.762,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",11857.25
18,2025-09-08 15:30:55.778,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",11873.23
19,2025-09-08 15:30:56.052,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12147.55
20,2025-09-08 15:30:56.146,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",12240.78
21,2025-09-08 15:30:56.146,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",12241.06
22,2025-09-08 15:30:56.176,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",12271.63
23,2025-09-08 15:30:56.394,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12489.57
24,2025-09-08 15:30:56.441,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12535.85
25,2025-09-08 15:30:56.441,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",12536.12
26,2025-09-08 15:30:56.477,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",12572.58
27,2025-09-08 15:30:56.483,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",12578.07
28,2025-09-08 15:30:56.768,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",12862.79
29,2025-09-08 15:31:00.131,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",16226.15
30,2025-09-08 15:31:00.412,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",16506.88
31,2025-09-08 15:31:03.893,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",19987.89
