Component,Count,Failures,AverageBranchingFactor,CallCount,TotalTicks,SuccessCount,FailureCount,ActionsDeleted,NodeGraphResets,SubtreesCleared,FinalActionsRemaining
BTFlowNode_Dynamic,70,68,2.51,47,47,13,19,0,0,0,0
BTFlowNode_Composite,1,0,2.50,0,0,0,0,0,0,0,0
GenericBTAction,39,0,0.00,47,47,21,15,0,0,0,0
SubtreesInjected,34,0,0.00,34,0,0,0,0,0,0,0
DecoratorBTDecorator_DynamicPlanningComplete,42,0,0.00,42,42,22,12,0,0,0,0
DecoratorBTDecorator_LowestCostExecution,30,0,0.00,30,30,19,3,0,0,0,0
DecoratorBTDecorator_PlanningComplete,93,0,0.00,93,93,77,4,0,0,0,0
ServiceCallPDDLPlanner,174,0,0.00,174,174,162,0,0,0,0,0
ServiceBTService_PlanningPhaseManager,111,0,0.00,111,111,110,0,0,0,0,0
ServiceSubtreeInjectionService,178,0,0.00,178,178,106,0,0,0,0,0
CallPDDLPlanner,0,0,0.00,0,0,0,0,0,0,0,0
BTService_PlanningPhaseManager,0,0,0.00,0,0,0,0,0,0,0,0
SubtreeInjectionService,0,0,0.00,0,0,0,0,0,0,0,0
SUMMARY,0,0,0,0,0,0,0,45,45,20,39
