Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 15:17:04.603,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2.27
2,2025-09-08 15:17:07.209,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2608.22
3,2025-09-08 15:17:07.378,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2776.72
4,2025-09-08 15:17:10.101,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5500.04
5,2025-09-08 15:17:10.280,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",5679.34
6,2025-09-08 15:17:12.847,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8246.34
7,2025-09-08 15:17:13.039,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8437.73
8,2025-09-08 15:17:15.663,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11062.31
9,2025-09-08 15:17:15.664,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11063.00
10,2025-09-08 15:17:15.695,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11093.68
11,2025-09-08 15:17:15.881,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11279.82
12,2025-09-08 15:17:15.922,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11320.90
13,2025-09-08 15:17:15.922,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",11321.22
14,2025-09-08 15:17:15.959,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",11357.52
15,2025-09-08 15:17:16.161,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11559.54
16,2025-09-08 15:17:16.198,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",11597.19
17,2025-09-08 15:17:16.199,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",11597.43
18,2025-09-08 15:17:16.221,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",11620.15
19,2025-09-08 15:17:16.402,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11801.21
20,2025-09-08 15:17:16.436,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",11834.65
21,2025-09-08 15:17:16.436,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",11834.91
22,2025-09-08 15:17:16.460,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",11859.17
23,2025-09-08 15:17:16.649,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12048.07
24,2025-09-08 15:17:16.689,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",12088.09
25,2025-09-08 15:17:16.689,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",12088.36
26,2025-09-08 15:17:16.725,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",12124.14
27,2025-09-08 15:17:16.730,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",12128.92
28,2025-09-08 15:17:16.980,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",12378.40
29,2025-09-08 15:17:19.531,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",14930.06
30,2025-09-08 15:17:19.803,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",15201.99
