Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 09:41:54.959,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",4.36
2,2025-09-08 09:41:58.069,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",3113.93
3,2025-09-08 09:41:58.273,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",3318.05
4,2025-09-08 09:42:01.491,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",6535.98
5,2025-09-08 09:42:01.666,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",6710.70
6,2025-09-08 09:42:06.318,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",11362.77
7,2025-09-08 09:42:06.518,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11563.25
8,2025-09-08 09:42:09.797,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",14842.44
9,2025-09-08 09:42:09.798,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",14843.16
10,2025-09-08 09:42:09.829,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",14873.51
11,2025-09-08 09:42:10.021,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",15065.53
12,2025-09-08 09:42:10.068,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",15112.78
13,2025-09-08 09:42:10.068,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",15113.18
14,2025-09-08 09:42:10.105,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",15150.07
15,2025-09-08 09:42:10.310,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",15355.11
16,2025-09-08 09:42:10.409,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",15453.72
17,2025-09-08 09:42:10.409,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",15454.28
18,2025-09-08 09:42:10.435,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",15480.25
19,2025-09-08 09:42:10.630,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",15675.21
20,2025-09-08 09:42:10.673,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",15717.78
21,2025-09-08 09:42:10.673,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",15718.03
22,2025-09-08 09:42:10.703,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",15747.91
23,2025-09-08 09:42:10.887,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",15931.58
24,2025-09-08 09:42:10.928,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",15973.09
25,2025-09-08 09:42:10.928,PickUpML,PickUpML_lp4_fp25_r1_vg1,STARTED,"DeltaTime: 0.100",15973.36
26,2025-09-08 09:42:10.976,PickUpML,PickUpML_lp4_fp25_r1_vg1,COMPLETED,"Effects applied successfully",16021.06
27,2025-09-08 09:42:10.982,PickUpHL,PickUpHL_lp4_fp25_r1,COMPLETED,"Subtree execution completed successfully",16026.54
28,2025-09-08 09:42:11.268,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",16313.19
29,2025-09-08 09:42:14.126,PlaceHL,PlaceHL_lp4_pr4_r1,FAILED,"Subtree execution failed",19170.69
30,2025-09-08 09:42:14.413,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",19457.67
31,2025-09-08 09:42:17.672,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",22716.58
32,2025-09-08 09:42:17.835,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",22879.91
33,2025-09-08 09:42:21.146,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",26191.35
34,2025-09-08 09:42:21.313,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",26357.77
35,2025-09-08 09:42:24.543,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",29588.42
36,2025-09-08 09:42:24.719,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",29763.82
37,2025-09-08 09:42:24.743,TravelML,TravelML_r1_fp25_pr4,STARTED,"Normal execution; DeltaTime: 0.100",29787.61
38,2025-09-08 09:42:24.743,TravelML,TravelML_r1_fp25_pr4,STARTED,"DeltaTime: 0.100",29787.89
39,2025-09-08 09:42:24.768,TravelML,TravelML_r1_fp25_pr4,COMPLETED,"Effects applied successfully",29813.45
40,2025-09-08 09:42:24.954,PlaceHL,PlaceHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp4_pr4_r1; DeltaTime: 0.100",29998.65
41,2025-09-08 09:42:24.980,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",30025.20
42,2025-09-08 09:42:24.981,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"DeltaTime: 0.100",30025.58
