NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNode_Composite,55,8.93,2.45,1358.16,0.88,1370.42,491.15,134.77,74698.78,48.41,75373.15
BTFlowNode_Dynamic_ENHSP,19,8.14,7.25,5.77,1021.80,1042.97,154.69,137.84,109.60,19414.23,19816.37
BTFlowNode_Dynamic_FF,19,752.47,13.27,3.61,125.91,895.27,14296.96,252.09,68.61,2392.36,17010.05
GenericBTAction,38,32.89,1.52,500.32,0.50,535.22,1249.75,57.85,19012.03,18.83,20338.53
TOTAL,131,123.61,4.45,716.71,166.98,1011.74,16192.55,582.55,93889.01,21873.84,132538.11
BTFlowNode_Dynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
