Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 13:56:27.570,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.21
2,2025-09-08 13:56:30.216,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",2647.28
3,2025-09-08 13:56:30.390,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",2821.49
4,2025-09-08 13:56:33.006,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",5437.08
5,2025-09-08 13:56:33.184,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",5615.44
6,2025-09-08 13:56:35.769,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",8199.71
7,2025-09-08 13:56:35.955,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8385.95
8,2025-09-08 13:56:38.590,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11021.13
9,2025-09-08 13:56:38.591,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",11022.08
10,2025-09-08 13:56:38.617,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",11047.93
11,2025-09-08 13:56:38.796,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",11227.42
12,2025-09-08 13:56:38.837,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",11267.84
